"","SN01_1","SN02_1","SN09_1","SN12_1","SN17_1","SN11","SN06_1","SN16_1","SN18_2","SN15_1","SN05_1","SN08","SN13_4","SN04_1","SN10_1"
"ENSG00000160325",0,325,341,344,496,767,0,503,413,0,524,0,743,417,522
"ENSG00000160326",0,0,0,0,0,0,0,0,0,0,0,0,0,141,0
"ENSG00000196990",2,9,0,0,0,34,4,10,12,0,2,5,10,45,19
"ENSG00000123454",4,0,0,0,0,3,0,16,0,0,0,3,0,8,0
"ENSG00000197859",654,344,295,190,114,963,505,627,622,303,97,461,469,113,174
"ENSG00000123453",53,197,72,18,45,58,213,65,50,17,59,25,325,145,98
"ENSG00000148297",772,940,604,539,479,768,280,558,505,422,732,446,680,550,371
"ENSG00000148303",11443,7401,10336,8935,11661,4998,2305,14882,6990,18441,15189,19271,3155,3773,2537
"ENSG00000148290",386,220,0,163,328,242,89,250,143,279,377,244,224,235,123
"ENSG00000148291",0,56,0,59,0,0,28,53,0,53,68,41,0,0,24
"ENSG00000148248",2137,1956,2783,1906,2231,1451,870,2028,1232,2134,2875,2275,983,1608,1866
"ENSG00000148296",1075,708,665,597,821,1127,610,596,880,653,1040,640,1090,582,539
"ENSG00000160293",3799,6728,3525,1300,1389,1147,1819,2654,2058,1394,1658,1655,5533,2358,3056
"ENSG00000235106",256,415,181,174,203,255,147,312,223,284,172,387,202,145,52
"ENSG00000169925",2736,2594,1702,1800,1774,2653,1414,2660,1776,2011,2607,2416,2416,1291,1241
"ENSG00000196363",2520,2267,1927,1565,1591,1686,1347,1567,1141,1939,2097,1654,1607,1005,912
"ENSG00000186350",2732,3108,2707,2917,2833,5187,4113,3005,2589,3074,2909,2303,6958,4313,3535
"ENSG00000085265",0,50,8,0,3,0,19,17,8,0,6,2,8,108,9
"ENSG00000130558",40,263,102,27,42,42,122,67,56,80,581,41,283,171,180
"ENSG00000130635",3372,12078,6596,1255,1225,2215,2861,3749,1741,979,3233,1062,9730,5118,1831
"ENSG00000196422",1671,1376,1580,1793,1805,2874,1921,2247,1993,1779,1631,1486,2796,1256,1866
"ENSG00000122136",7,1,1,0,0,0,0,4,0,0,2,0,0,0,0
"ENSG00000122133",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000160345",64,6,20,17,19,13,0,26,15,40,38,25,6,4,12
"ENSG00000122140",868,545,727,678,741,773,252,850,575,942,1132,721,522,226,252
"ENSG00000107147",3,53,0,0,6,8,10,15,0,0,0,7,18,0,4
"ENSG00000130559",2599,2525,1818,1987,2192,2445,1911,2214,1609,1809,2213,2123,2001,1123,1021
"ENSG00000130560",665,740,689,884,1070,1213,947,876,1039,1158,2625,900,1264,868,1001
"ENSG00000148411",1168,1434,1939,1068,1174,1259,1130,1045,925,1198,1599,840,1765,1329,1191
"ENSG00000107187",5,0,0,2,0,0,5,0,0,0,0,0,0,0,0
"ENSG00000238227",236,273,549,310,457,483,633,295,304,447,217,166,934,249,339
"ENSG00000260220",56,97,42,35,35,158,53,34,94,59,54,4,269,66,87
"ENSG00000160360",129,514,152,28,95,279,252,160,181,30,145,31,995,398,228
"ENSG00000187796",100,239,166,73,80,169,158,105,125,44,134,34,159,198,115
"ENSG00000213221",98,71,86,78,161,53,0,70,36,208,395,83,119,67,41
"ENSG00000165661",2667,1904,1657,1111,1017,1706,1354,1256,1038,984,1569,1199,1475,1116,794
"ENSG00000165689",1783,1451,1172,1073,985,1138,1081,982,1037,1010,1613,1020,1166,814,613
